session,pipeline,resp_mae,resp_rmse,resp_bias,resp_r,card_mae,card_rmse,card_bias,card_r,k_resp,k_card
S1N1,no_k,1.8320940192368158,2.434877135416934,-0.7153691017157653,0.32913058269399653,38.425633086114374,39.10780024937992,38.332166447172796,-0.19323361344405493,,
S1N1,per_session_k,1.5520476331198123,2.347885311409538,0.3422003146723397,0.3291305826939965,4.185096193139748,5.963471008266449,-0.7754018447487515,-0.19323361344405493,0.934059639472633,1.6952182218827607
S1N1,loso_k,1.8232223248683441,2.4300230568045142,-0.6989181249216366,0.32913058269399653,4.589507913572458,6.113208454450345,1.1877781463658912,-0.19323361344405485,0.998903060031626,1.638050900172015
S1N2,no_k,1.5798900978318098,2.258729316730292,-0.051485382736465767,0.2676081409664744,39.791410473939735,40.55068166164557,39.77691866703742,-0.3416488632716372,,
S1N2,per_session_k,1.5101637754259098,2.3003977405488594,0.44594825666384613,0.2676081409664746,3.9847429352691255,5.653570625934389,-0.9661009337733761,-0.341648863271637,0.9673844955309904,1.7991266057890687
S1N2,loso_k,1.5759181568050113,2.258372027994523,-0.03528334306817099,0.26760814096647456,5.9233895859454755,7.104673799770255,4.047390445661512,-0.34164886327163707,0.998903060031626,1.638050900172015
S2N1,no_k,2.2358454964217223,2.8345462789245386,-0.5862188911841321,0.0550252346488747,40.93838147768193,42.18327052127215,40.93838147768193,-0.10769535664210617,,
S2N1,per_session_k,1.9075591241334604,2.8314127893122296,0.5540459066682892,0.05502523464887477,4.354212571759987,6.32304782809025,-1.9018637344636429,-0.10769535664210621,0.9291231040861896,1.854424576947682
S2N1,loso_k,2.2277060247756286,2.8312425361679723,-0.5698041588712073,0.05502523464887485,7.1421323849059615,7.926245341582424,4.36561771606161,-0.10769535664210618,0.998903060031626,1.648375365501734
S2N2,no_k,2.5984754124213034,3.1757008069787385,-1.1128821328670435,-0.04126447816189453,33.132900935401246,35.11649678206555,33.06785948545505,-0.5413551825815294,,
S2N2,per_session_k,2.16402410910636,3.005158653232903,0.3763136194678217,-0.04126447816189448,6.5644253772139605,8.420054569621179,-0.6521764838293085,-0.5413551825815294,0.907824502732407,1.6195419052294167
S2N2,loso_k,2.5902028055885635,3.1701627406526893,-1.0967757611719884,-0.041264478161894574,6.54512694264486,8.453882615218781,-1.6042226126826509,-0.5413551825815291,0.998903060031626,1.648375365501734
S3N1,no_k,2.1048545532143605,2.5324453410001797,1.7126999000246184,0.050115327050401816,37.64809025022381,38.296195415383266,37.63139585130222,-0.10024586930179144,,
S3N1,per_session_k,1.34273025112207,1.8641996895022135,-0.1202660415618612,0.050115327050401746,4.1876940456913445,5.962728331646766,-0.5434602780350613,-0.1002458693017913,1.1419077333208876,1.633531410505947
S3N1,loso_k,2.4767068011293514,2.879513029829654,2.1922711163810353,0.050115327050401705,4.215769802876359,6.045277276043084,-1.2244933768918749,-0.1002458693017913,0.9685096340349879,1.6522047863561564
S3N2,no_k,2.5018238967653654,2.8804661251310875,2.2439460916048137,0.09458678872314924,38.05392271954127,38.565645815742066,38.0375498974451,-0.49383037394159607,,
S3N2,per_session_k,1.2732014878207787,1.7966330240272859,0.009505180745176174,0.09458678872314934,3.838351606347245,5.381978743303371,-0.9275516402719588,-0.4938303739415964,1.178885565092889,1.654180341165385
S3N2,loso_k,2.9092704138002836,3.268570361150566,2.7227293872440703,0.09458678872314918,3.840330160066755,5.371965886098209,-0.8563313842570028,-0.4938303739415964,0.9685096340349879,1.6522047863561564
S4N1,no_k,2.3595393896319643,2.875561161746371,-1.3358095217433075,0.28192418640579636,39.669173281615045,40.11935928062468,38.92656651592078,0.009480042494023806,,
S4N1,per_session_k,1.7792980944807026,2.5591854092219424,0.2982927886363888,0.2819241864057965,3.355537859951704,6.496828052732225,-1.133142946713776,0.009480042494023804,0.9021967011143397,1.6812930064280776
S4N1,loso_k,2.3492239802569164,2.8678615312714912,-1.319256149079586,0.2819241864057963,3.552490682640347,6.488683442331133,0.041068885616705866,0.009480042494023816,0.998903060031626,1.648375365501734
S4N2,no_k,1.8574762113693188,2.5538969484627283,-0.6876079497293425,0.15448592176032142,35.804328948492895,36.10902758590026,35.804328948492895,-0.07351578117465513,,
S4N2,per_session_k,1.7909413649422474,2.468839535234297,-0.21669863155605076,0.1544859217603214,2.954829082160033,4.2581988492639615,-0.40722200692997357,-0.073515781174655,0.9696347725389853,1.5703999966107776
S4N2,loso_k,1.853046595377367,2.5494905135611456,-0.6710948560638021,0.1544859217603215,4.0968244111056125,5.416480601301725,-3.4103160636575627,-0.07351578117465504,0.998903060031626,1.648375365501734
S5N1,no_k,1.2896506252551778,2.1540627430108072,0.08352180083055373,0.18666330232236705,39.75690802822268,40.230148480886335,39.75690802822268,-0.04817190226035935,,
S5N1,per_session_k,1.2832161028508242,2.161432057116445,0.1979664952462826,0.18666330232236703,4.025722598572289,5.788928875989243,-0.08065704004585392,-0.04817190226035945,0.9924389562337477,1.66183918287423
S5N1,loso_k,1.358388026038081,2.226757573090601,0.5719395950297137,0.18666330232236716,4.070936586851007,5.821981743847364,0.5778283318456272,-0.04817190226035971,0.9685096340349879,1.643855875835666
S5N2,no_k,1.1235808360541037,1.9328727875309806,0.2078164138331616,0.01996944516927384,38.82026870769476,39.026207268576684,38.82026870769476,0.019381930976179875,,
S5N2,per_session_k,1.1194824354927366,1.9256988279862455,0.12731911065354654,0.01996944516927384,2.5376435619424815,3.630644193353087,-0.3580674887798492,0.01938193097617991,1.0053671638295043,1.6425703898380828
S5N2,loso_k,1.2693853735561793,2.045608471813131,0.6980859836591116,0.019969445169273615,2.5379346623392163,3.635283605929872,-0.4057466812937235,0.019381930976179778,0.9685096340349879,1.643855875835666
S6N1,no_k,1.2122349464387796,1.7956462622331604,0.7224938567582624,0.29423234663416586,29.820956127257375,30.929529774411797,29.6492105985671,-0.44006484041331817,,
S6N1,per_session_k,1.0724943283293826,1.653064953010078,0.16021570269967222,0.2942323466341659,5.183341465687873,7.247187494447517,-0.8367892630473908,-0.4400648404133181,1.0399912735582673,1.4673125720075524
S6N1,loso_k,1.5000688396188049,2.033156673727513,1.1979269776475197,0.2942323466341661,8.49082721231552,10.775455241093043,-8.34005259850514,-0.4400648404133183,0.9685096340349879,1.6580097620198075
S6N2,no_k,1.1967514276818774,1.885765443345835,0.7532197323882082,0.4438385237317934,28.65943599977389,29.73005624263582,28.63281082129085,0.0063285591255385016,,
S6N2,per_session_k,1.1252914560562122,1.762207288088086,0.32631009269518035,0.44383852373179333,4.129990043511242,6.441701127965654,-1.4427082224491319,0.006328559125538578,1.0298792479491226,1.4509286890572177
S6N2,loso_k,1.4302316636789743,2.120078993888629,1.231658506601294,0.4438385237317934,9.94824647142238,11.389220268030599,-9.77296881493011,0.006328559125538591,0.9685096340349879,1.6580097620198075
